,acousticness,analysis_url,danceability,duration_ms,energy,id,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,track_href,type,uri,valence
16,0.154,https://api.spotify.com/v1/audio-analysis/5s4catxeZsaWFnOrvrXZHf,0.634,241373,0.886,5s4catxeZsaWFnOrvrXZHf,0.0,9,0.118,-5.424,1,0.0434,93.04,4,https://api.spotify.com/v1/tracks/5s4catxeZsaWFnOrvrXZHf,audio_features,spotify:track:5s4catxeZsaWFnOrvrXZHf,0.577
17,0.792,https://api.spotify.com/v1/audio-analysis/5P99NICZOdPmDo7M6Hnm7N,0.343,255893,0.45,5P99NICZOdPmDo7M6Hnm7N,1.18e-05,3,0.223,-9.231,1,0.0359,85.543,3,https://api.spotify.com/v1/tracks/5P99NICZOdPmDo7M6Hnm7N,audio_features,spotify:track:5P99NICZOdPmDo7M6Hnm7N,0.291
18,0.101,https://api.spotify.com/v1/audio-analysis/6WkJ2OK163XXS2oARUC9JM,0.72,198053,0.741,6WkJ2OK163XXS2oARUC9JM,1.41e-05,10,0.289,-6.529,0,0.0287,119.896,4,https://api.spotify.com/v1/tracks/6WkJ2OK163XXS2oARUC9JM,audio_features,spotify:track:6WkJ2OK163XXS2oARUC9JM,0.357
19,0.455,https://api.spotify.com/v1/audio-analysis/2GRnDQCkcN6BoujfUgywOW,0.412,248467,0.953,2GRnDQCkcN6BoujfUgywOW,0.0,4,0.232,-8.103,1,0.533,191.722,4,https://api.spotify.com/v1/tracks/2GRnDQCkcN6BoujfUgywOW,audio_features,spotify:track:2GRnDQCkcN6BoujfUgywOW,0.553
20,0.267,https://api.spotify.com/v1/audio-analysis/3ii5VBrIXJXKEVkjx1IAdP,0.812,276225,0.495,3ii5VBrIXJXKEVkjx1IAdP,2.9e-05,10,0.0942,-9.869,0,0.0747,98.998,4,https://api.spotify.com/v1/tracks/3ii5VBrIXJXKEVkjx1IAdP,audio_features,spotify:track:3ii5VBrIXJXKEVkjx1IAdP,0.837
21,1.83e-05,https://api.spotify.com/v1/audio-analysis/5OQsiBsky2k2kDKy2bX2eT,0.465,235293,0.919,5OQsiBsky2k2kDKy2bX2eT,2.07e-05,4,0.262,-4.025,1,0.0408,135.997,4,https://api.spotify.com/v1/tracks/5OQsiBsky2k2kDKy2bX2eT,audio_features,spotify:track:5OQsiBsky2k2kDKy2bX2eT,0.537
22,0.00883,https://api.spotify.com/v1/audio-analysis/5TD2xyZlYdkQ9UA8eT2TKL,0.717,159893,0.637,5TD2xyZlYdkQ9UA8eT2TKL,0.0,0,0.173,-6.487,1,0.0613,160.125,4,https://api.spotify.com/v1/tracks/5TD2xyZlYdkQ9UA8eT2TKL,audio_features,spotify:track:5TD2xyZlYdkQ9UA8eT2TKL,0.251
23,0.0863,https://api.spotify.com/v1/audio-analysis/4ocbH5ZJqajZIpUrqRUoue,0.675,239933,0.553,4ocbH5ZJqajZIpUrqRUoue,7.58e-06,7,0.118,-7.775,1,0.0486,90.02,4,https://api.spotify.com/v1/tracks/4ocbH5ZJqajZIpUrqRUoue,audio_features,spotify:track:4ocbH5ZJqajZIpUrqRUoue,0.594
24,0.00152,https://api.spotify.com/v1/audio-analysis/0BUoLE4o9eVahDHvTqak67,0.648,278067,0.622,0BUoLE4o9eVahDHvTqak67,5.97e-05,7,0.109,-6.063,1,0.0428,88.684,4,https://api.spotify.com/v1/tracks/0BUoLE4o9eVahDHvTqak67,audio_features,spotify:track:0BUoLE4o9eVahDHvTqak67,0.51
25,0.00646,https://api.spotify.com/v1/audio-analysis/6TR0FGw4zhlGbQALN065AI,0.595,194233,0.877,6TR0FGw4zhlGbQALN065AI,0.0879,9,0.398,-7.414,0,0.0442,125.015,4,https://api.spotify.com/v1/tracks/6TR0FGw4zhlGbQALN065AI,audio_features,spotify:track:6TR0FGw4zhlGbQALN065AI,0.081
