popularity,song_titles
unpopular,8 Out of 10
unpopular,Peligrosa
unpopular,En Mí
unpopular,Brillo
unpopular,Ahora
unpopular,No Es Justo
unpopular,Cuando Tú Quieras
unpopular,Ambiente
unpopular,Vibras
unpopular,En Mí
unpopular,Goodnight n Go
unpopular,Better Off
unpopular,Borderline
unpopular,No Tears Left to Cry
unpopular,Successful
unpopular,God Is a Woman
unpopular,Blazed
unpopular,Fallin' All in You
unpopular,Raindrops
unpopular,Machika
unpopular,Survival
unpopular,Elevate
unpopular,Get Well Soon
unpopular,Drive
unpopular,Don't Leave Me Alone
unpopular,Flames
unpopular,Blame It On Love
unpopular,Say My Name
unpopular,Goodbye
unpopular,I'm That Bitch
unpopular,Love
unpopular,Like I Do
unpopular,She Knows How To Love Me
unpopular,Motto
unpopular,Boomerang
unpopular,Para Que Te Quedes
unpopular,Let It Be Me
unpopular,Light Headed
unpopular,Stuck
unpopular,Battle
unpopular,Digital
unpopular,Lost in Japan
unpopular,Nervous
unpopular,Where Were You in the Morning?
unpopular,Machine
unpopular,Coco Chanel
unpopular,Zero
unpopular,Bullet In A Gun
unpopular,Cool Out
unpopular,Genius
unpopular,Angel in Your Eyes
unpopular,Welcome to the Wonderful World Of
unpopular,Outta My Head
unpopular,Audio
unpopular,Hundred
unpopular,My Bad
unpopular,Don't Pretend
unpopular,Paradise
unpopular,Mountains
unpopular,Alive
unpopular,Free Spirit
unpopular,Mojaita
unpopular,Yo Le Llego
unpopular,Cuidao por Ahí
unpopular,Qué Pretendes
unpopular,La Canción
unpopular,No New Friends
unpopular,Un Peso
unpopular,Self
unpopular,Bluffin'
unpopular,"Thank U, next"
unpopular,Twenty One
unpopular,Genius
unpopular,It's Time
unpopular,Heaven Can Wait
unpopular,Como un Bebé
unpopular,Odio
unpopular,Death by a Thousand Cuts
unpopular,You Need to Calm Down
unpopular,Me!
unpopular,It's Nice to Have a Friend
unpopular,Push My Luck
unpopular,Takeaway
unpopular,Do You Mean
unpopular,Kills You Slowly
unpopular,Peace of Mind
unpopular,Tough Love
unpopular,Bad Reputation
unpopular,Ain't a Thing
unpopular,Hold the Line
unpopular,Freak
unpopular,Excuse Me Mr. Sir
unpopular,Heart Upon My Sleeve
unpopular,Never Leave Me
unpopular,Fades Away
unpopular,Miss Americana & the Heartbreak Prince
unpopular,!!!!!!!
unpopular,You Should See Me in a Crown
unpopular,All the Good Girls Go to Hell
unpopular,When the Party's Over
unpopular,8
unpopular,Bury a Friend
unpopular,Ilomilo
unpopular,Listen Before I Go
unpopular,I Love You
unpopular,Goodbye
unpopular,South of the Border
unpopular,Take Me Back to London
unpopular,Best Part of Me
unpopular,Remember the Name
unpopular,Put It All on Me
unpopular,Nothing on You
unpopular,I Don't Want Your Money
unpopular,1000 Nights
unpopular,Way to Break My Heart
unpopular,Blow
unpopular,Bad Luck
popular,"Thank U, Next"
popular,Without Me
popular,All I Want For Christmas Is You
popular,Sicko Mode
popular,Sunflower (Spider-Man: Into The Spider-Verse)
popular,High Hopes
popular,Happier
popular,Jingle Bell Rock
popular,Rockin' Around The Christmas Tree
popular,A Holly Jolly Christmas
popular,The Christmas Song (Merry Christmas To You)
popular,Drip Too Hard
popular,It's The Most Wonderful Time Of The Year
popular,Girls Like You
popular,ZEZE
popular,Rudolph The Red-Nosed Reindeer
popular,Mo Bamba
popular,Wake Up In The Sky
popular,Money
popular,"Let It Snow, Let It Snow, Let It Snow"
popular,Eastside
popular,Breathin
popular,Better Now
popular,Youngblood
popular,Last Christmas
popular,Sleigh Ride
popular,Lucid Dreams
popular,Here Comes Santa Claus (Right Down Santa Claus Lane)
popular,Feliz Navidad
popular,Taki Taki
popular,MIA
popular,(There's No Place Like) Home For The Holidays
popular,Leave Me Alone
popular,White Christmas
popular,It's Beginning To Look A Lot Like Christmas
popular,Going Bad
popular,A Lot
popular,Trip
popular,I Like It
popular,Blue Christmas
popular,Speechless
popular,Happy Xmas (War Is Over)
popular,Christmas (Baby Please Come Home)
popular,Underneath The Tree
popular,Run Rudolph Run
popular,Natural
popular,Wow.
popular,Love Lies
popular,Jingle Bells
popular,Beautiful
popular,Better
popular,Shallow
popular,Cozy Little Christmas
popular,She Got The Best Of Me
popular,The Christmas Song
popular,Uproar
popular,Swervin
popular,Can't Leave Without It
popular,You Say
popular,Close To Me
popular,Best Shot
popular,Dangerous
popular,Be Alright
popular,Drunk Me
popular,Startender
popular,Look Back At It
popular,All My Friends
popular,BAD!
popular,Backin' It Up
popular,Break Da Law
popular,Imagine
popular,Talk To Me
popular,Monster
popular,Calling My Spirit
popular,Consequences
popular,Armed And Dangerous
popular,Arms Around You
popular,Nothing Breaks Like A Heart
popular,Sixteen
popular,Burning Man
popular,Beautiful Crazy
popular,When The Party's Over
popular,Sweet But Psycho
popular,This Feeling
popular,You
popular,1.5
popular,Girl Like You
popular,Out For The Night
popular,Good Girl
popular,No Stylist
popular,Lovely
popular,Ella Quiere Beber
