,acousticness,analysis_url,danceability,duration_ms,energy,id,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,track_href,type,uri,valence
93,0.0399,https://api.spotify.com/v1/audio-analysis/2QgfDF0fQ4sskDthP8MG5w,0.84,171714,0.543,2QgfDF0fQ4sskDthP8MG5w,0.0,1,0.117,-7.738,1,0.476,170.067,4,https://api.spotify.com/v1/tracks/2QgfDF0fQ4sskDthP8MG5w,audio_features,spotify:track:2QgfDF0fQ4sskDthP8MG5w,0.161
94,0.00204,https://api.spotify.com/v1/audio-analysis/6viHvc13l9A6Ua6xugpeX6,0.487,228480,0.859,6viHvc13l9A6Ua6xugpeX6,0.0,4,0.322,-4.403,1,0.0488,148.037,4,https://api.spotify.com/v1/tracks/6viHvc13l9A6Ua6xugpeX6,audio_features,spotify:track:6viHvc13l9A6Ua6xugpeX6,0.377
95,0.0484,https://api.spotify.com/v1/audio-analysis/5274I4mUMnYczyeXkGDWZN,0.656,141587,0.542,5274I4mUMnYczyeXkGDWZN,0.0,7,0.126,-7.358,1,0.323,166.111,4,https://api.spotify.com/v1/tracks/5274I4mUMnYczyeXkGDWZN,audio_features,spotify:track:5274I4mUMnYczyeXkGDWZN,0.551
96,0.282,https://api.spotify.com/v1/audio-analysis/05t7JMip6JrLuSrMV5yYjX,0.556,120137,0.481,05t7JMip6JrLuSrMV5yYjX,0.0,11,0.216,-7.663,1,0.313,149.025,4,https://api.spotify.com/v1/tracks/05t7JMip6JrLuSrMV5yYjX,audio_features,spotify:track:05t7JMip6JrLuSrMV5yYjX,0.581
97,0.255,https://api.spotify.com/v1/audio-analysis/79esEXlqqmq0GPz0xQSZTV,0.713,201200,0.738,79esEXlqqmq0GPz0xQSZTV,0.0,10,0.106,-6.784,1,0.374,105.027,4,https://api.spotify.com/v1/tracks/79esEXlqqmq0GPz0xQSZTV,audio_features,spotify:track:79esEXlqqmq0GPz0xQSZTV,0.425
98,0.254,https://api.spotify.com/v1/audio-analysis/34DFpyq5NJJ79GnGbbJH3p,0.557,230973,0.511,34DFpyq5NJJ79GnGbbJH3p,0.0,8,0.099,-6.788,1,0.0291,156.042,4,https://api.spotify.com/v1/tracks/34DFpyq5NJJ79GnGbbJH3p,audio_features,spotify:track:34DFpyq5NJJ79GnGbbJH3p,0.602
99,0.592,https://api.spotify.com/v1/audio-analysis/6ocbgoVGwYJhOv1GgI9NsF,0.778,178627,0.317,6ocbgoVGwYJhOv1GgI9NsF,0.0,1,0.0881,-10.732,0,0.334,140.048,4,https://api.spotify.com/v1/tracks/6ocbgoVGwYJhOv1GgI9NsF,audio_features,spotify:track:6ocbgoVGwYJhOv1GgI9NsF,0.327
100,0.297,https://api.spotify.com/v1/audio-analysis/5p7ujcrUXASCNwRaWNHR1C,0.752,201661,0.488,5p7ujcrUXASCNwRaWNHR1C,9.11e-06,6,0.0936,-7.05,1,0.0705,136.041,4,https://api.spotify.com/v1/tracks/5p7ujcrUXASCNwRaWNHR1C,audio_features,spotify:track:5p7ujcrUXASCNwRaWNHR1C,0.533
101,0.556,https://api.spotify.com/v1/audio-analysis/3KkXRkHbMCARz0aVfEt68P,0.76,158040,0.479,3KkXRkHbMCARz0aVfEt68P,0.0,2,0.0703,-5.574,1,0.0466,89.911,4,https://api.spotify.com/v1/tracks/3KkXRkHbMCARz0aVfEt68P,audio_features,spotify:track:3KkXRkHbMCARz0aVfEt68P,0.913
102,0.229,https://api.spotify.com/v1/audio-analysis/3e9HZxeyfWwjeyPAMmWSSQ,0.717,207320,0.653,3e9HZxeyfWwjeyPAMmWSSQ,0.0,1,0.101,-5.634,1,0.0658,106.966,4,https://api.spotify.com/v1/tracks/3e9HZxeyfWwjeyPAMmWSSQ,audio_features,spotify:track:3e9HZxeyfWwjeyPAMmWSSQ,0.412
