,acousticness,analysis_url,danceability,duration_ms,energy,id,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,track_href,type,uri,valence
0,0.0991,https://api.spotify.com/v1/audio-analysis/0HPD5WQqrq7wPWR7P7Dw1i,0.755,199693,0.837,0HPD5WQqrq7wPWR7P7Dw1i,0.0,2,0.289,-2.718,0,0.142,120.028,4,https://api.spotify.com/v1/tracks/0HPD5WQqrq7wPWR7P7Dw1i,audio_features,spotify:track:0HPD5WQqrq7wPWR7P7Dw1i,0.714
1,0.739,https://api.spotify.com/v1/audio-analysis/5sra5UY6sD658OabHL3QtI,0.479,216480,0.368,5sra5UY6sD658OabHL3QtI,4.1e-05,6,0.118,-7.784,1,0.0341,92.959,4,https://api.spotify.com/v1/tracks/5sra5UY6sD658OabHL3QtI,audio_features,spotify:track:5sra5UY6sD658OabHL3QtI,0.142
2,0.00314,https://api.spotify.com/v1/audio-analysis/0SiywuOBRcynK0uKGWdCnn,0.696,294573,0.921,0SiywuOBRcynK0uKGWdCnn,5.24e-05,0,0.0842,-3.755,1,0.0363,119.001,4,https://api.spotify.com/v1/tracks/0SiywuOBRcynK0uKGWdCnn,audio_features,spotify:track:0SiywuOBRcynK0uKGWdCnn,0.714
3,0.000155,https://api.spotify.com/v1/audio-analysis/4TsmezEQVSZNNPv5RJ65Ov,0.779,246960,0.64,4TsmezEQVSZNNPv5RJ65Ov,0.00077,7,0.101,-8.415,1,0.159,99.019,4,https://api.spotify.com/v1/tracks/4TsmezEQVSZNNPv5RJ65Ov,audio_features,spotify:track:4TsmezEQVSZNNPv5RJ65Ov,0.498
4,0.0294,https://api.spotify.com/v1/audio-analysis/3DamFFqW32WihKkTVlwTYQ,0.591,228347,0.649,3DamFFqW32WihKkTVlwTYQ,0.0,3,0.133,-6.72,1,0.0417,90.002,4,https://api.spotify.com/v1/tracks/3DamFFqW32WihKkTVlwTYQ,audio_features,spotify:track:3DamFFqW32WihKkTVlwTYQ,0.489
5,0.0816,https://api.spotify.com/v1/audio-analysis/1HS7GTjTPbYX26wKOBbD1b,0.809,194347,0.562,1HS7GTjTPbYX26wKOBbD1b,0.000418,11,0.105,-7.694,0,0.0534,130.003,4,https://api.spotify.com/v1/tracks/1HS7GTjTPbYX26wKOBbD1b,audio_features,spotify:track:1HS7GTjTPbYX26wKOBbD1b,0.798
6,0.0444,https://api.spotify.com/v1/audio-analysis/7xkQdy0cy5ymoWT7nedvLz,0.615,221253,0.711,7xkQdy0cy5ymoWT7nedvLz,0.0,11,0.145,-5.507,1,0.0779,144.036,4,https://api.spotify.com/v1/tracks/7xkQdy0cy5ymoWT7nedvLz,audio_features,spotify:track:7xkQdy0cy5ymoWT7nedvLz,0.711
7,0.74,https://api.spotify.com/v1/audio-analysis/2qxmye6gAegTMjLKEBoR3d,0.652,169354,0.557,2qxmye6gAegTMjLKEBoR3d,0.0,1,0.124,-5.714,0,0.0318,150.073,4,https://api.spotify.com/v1/tracks/2qxmye6gAegTMjLKEBoR3d,audio_features,spotify:track:2qxmye6gAegTMjLKEBoR3d,0.483
8,0.00474,https://api.spotify.com/v1/audio-analysis/3F9ByoUqu31xU0I3G5xfVg,0.798,284373,0.629,3F9ByoUqu31xU0I3G5xfVg,2.17e-05,11,0.324,-6.857,0,0.0735,130.0,4,https://api.spotify.com/v1/tracks/3F9ByoUqu31xU0I3G5xfVg,audio_features,spotify:track:3F9ByoUqu31xU0I3G5xfVg,0.4
9,0.223,https://api.spotify.com/v1/audio-analysis/1tNJrcVe6gwLEiZCtprs1u,0.815,177667,0.518,1tNJrcVe6gwLEiZCtprs1u,0.0,7,0.104,-6.594,0,0.0897,151.891,4,https://api.spotify.com/v1/tracks/1tNJrcVe6gwLEiZCtprs1u,audio_features,spotify:track:1tNJrcVe6gwLEiZCtprs1u,0.877
10,0.0852,https://api.spotify.com/v1/audio-analysis/78QR3Wp35dqAhFEc2qAGjE,0.897,145543,0.662,78QR3Wp35dqAhFEc2qAGjE,0.0,1,0.534,-6.903,0,0.292,112.511,4,https://api.spotify.com/v1/tracks/78QR3Wp35dqAhFEc2qAGjE,audio_features,spotify:track:78QR3Wp35dqAhFEc2qAGjE,0.389
11,0.109,https://api.spotify.com/v1/audio-analysis/3iL2l5gUqyPS6vDwJFgJTR,0.732,288133,0.659,3iL2l5gUqyPS6vDwJFgJTR,0.0,8,0.141,-6.089,1,0.225,148.001,4,https://api.spotify.com/v1/tracks/3iL2l5gUqyPS6vDwJFgJTR,audio_features,spotify:track:3iL2l5gUqyPS6vDwJFgJTR,0.575
12,0.00248,https://api.spotify.com/v1/audio-analysis/1WtTLtofvcjQM3sXSMkDdX,0.784,201587,0.498,1WtTLtofvcjQM3sXSMkDdX,1.23e-06,1,0.224,-6.977,1,0.0533,143.96,4,https://api.spotify.com/v1/tracks/1WtTLtofvcjQM3sXSMkDdX,audio_features,spotify:track:1WtTLtofvcjQM3sXSMkDdX,0.418
13,0.139,https://api.spotify.com/v1/audio-analysis/67xBtV07CC73eFw7z5oCvU,0.606,236686,0.655,67xBtV07CC73eFw7z5oCvU,0.0,6,0.103,-6.328,1,0.402,159.824,4,https://api.spotify.com/v1/tracks/67xBtV07CC73eFw7z5oCvU,audio_features,spotify:track:67xBtV07CC73eFw7z5oCvU,0.696
