,acousticness,analysis_url,danceability,duration_ms,energy,id,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,track_href,type,uri,valence
16,0.00237,https://api.spotify.com/v1/audio-analysis/6zegtH6XXd2PDPLvy1Y0n2,0.644,190067,0.755,6zegtH6XXd2PDPLvy1Y0n2,7.64e-06,1,0.0859,-5.325,1,0.0448,102.861,4,https://api.spotify.com/v1/tracks/6zegtH6XXd2PDPLvy1Y0n2,audio_features,spotify:track:6zegtH6XXd2PDPLvy1Y0n2,0.334
17,0.514,https://api.spotify.com/v1/audio-analysis/3BYyBzKGPOCHeginhe0F77,0.376,215813,0.466,3BYyBzKGPOCHeginhe0F77,5.8e-05,10,0.0781,-6.927,1,0.0353,199.835,4,https://api.spotify.com/v1/tracks/3BYyBzKGPOCHeginhe0F77,audio_features,spotify:track:3BYyBzKGPOCHeginhe0F77,0.276
18,0.0663,https://api.spotify.com/v1/audio-analysis/14hJ5tc1VCFMWhVn9axRTC,0.667,214533,0.614,14hJ5tc1VCFMWhVn9axRTC,0.0,10,0.111,-4.995,1,0.0314,113.979,4,https://api.spotify.com/v1/tracks/14hJ5tc1VCFMWhVn9axRTC,audio_features,spotify:track:14hJ5tc1VCFMWhVn9axRTC,0.161
19,0.00016,https://api.spotify.com/v1/audio-analysis/0MKGH8UMfCnq5w7nG06oM5,0.5,218920,0.824,0MKGH8UMfCnq5w7nG06oM5,0.00161,4,0.0916,-5.846,0,0.0388,120.125,4,https://api.spotify.com/v1/tracks/0MKGH8UMfCnq5w7nG06oM5,audio_features,spotify:track:0MKGH8UMfCnq5w7nG06oM5,0.539
20,0.587,https://api.spotify.com/v1/audio-analysis/4KwxMQu99ZgqpsSKzXT2ep,0.685,96000,0.499,4KwxMQu99ZgqpsSKzXT2ep,0.742,0,0.112,-6.168,1,0.0338,149.936,4,https://api.spotify.com/v1/tracks/4KwxMQu99ZgqpsSKzXT2ep,audio_features,spotify:track:4KwxMQu99ZgqpsSKzXT2ep,0.0605
21,0.857,https://api.spotify.com/v1/audio-analysis/6Vc5wAMmXdKIAM7WUoEb7N,0.407,229400,0.147,6Vc5wAMmXdKIAM7WUoEb7N,2.89e-06,2,0.0913,-8.822,1,0.0355,141.284,3,https://api.spotify.com/v1/tracks/6Vc5wAMmXdKIAM7WUoEb7N,audio_features,spotify:track:6Vc5wAMmXdKIAM7WUoEb7N,0.0765
22,0.391,https://api.spotify.com/v1/audio-analysis/2PIvq1pGrUjY007X5y1UpM,0.66,252227,0.382,2PIvq1pGrUjY007X5y1UpM,0.0,2,0.0972,-5.919,0,0.0304,119.875,3,https://api.spotify.com/v1/tracks/2PIvq1pGrUjY007X5y1UpM,audio_features,spotify:track:2PIvq1pGrUjY007X5y1UpM,0.436
23,0.142,https://api.spotify.com/v1/audio-analysis/1cS0TgbR263ey9jn0MwD2s,0.748,221013,0.749,1cS0TgbR263ey9jn0MwD2s,0.0,8,0.0713,-5.916,0,0.516,90.09,4,https://api.spotify.com/v1/tracks/1cS0TgbR263ey9jn0MwD2s,audio_features,spotify:track:1cS0TgbR263ey9jn0MwD2s,0.659
24,0.00795,https://api.spotify.com/v1/audio-analysis/7KxhSJOYiqCDclXDBNlFSZ,0.757,217907,0.884,7KxhSJOYiqCDclXDBNlFSZ,5.87e-05,10,0.0973,-5.488,0,0.0404,120.012,4,https://api.spotify.com/v1/tracks/7KxhSJOYiqCDclXDBNlFSZ,audio_features,spotify:track:7KxhSJOYiqCDclXDBNlFSZ,0.398
25,0.0147,https://api.spotify.com/v1/audio-analysis/3CJvmtWw2bJsudbAC5uCQk,0.811,200680,0.499,3CJvmtWw2bJsudbAC5uCQk,2.44e-06,5,0.342,-7.161,0,0.118,111.016,4,https://api.spotify.com/v1/tracks/3CJvmtWw2bJsudbAC5uCQk,audio_features,spotify:track:3CJvmtWw2bJsudbAC5uCQk,0.466
